time,rank,id,title
08:00,1,,"메이플 키우기"
08:00,2,,"리니지M"
08:00,3,,"WOS: 화이트아웃 서바이벌"
08:00,4,,"라스트 워: 서바이벌"
08:00,5,,"라스트 Z: 서바이벌 슈터"
08:00,6,,"뱀피르"
08:00,7,,"킹샷:Kingshot"
08:00,8,,"Roblox"
08:00,9,,"AION2"
08:00,10,,"오딘: 발할라 라이징"
08:00,11,,"로얄 매치 Royal Match"
08:00,12,,"마비노기 모바일"
08:00,13,,"운빨존많겜"
08:00,14,,"세븐나이츠 리버스"
08:00,15,,"한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯"
08:00,16,,"가십하버: 합성 & 스토리 게임"
08:00,17,,"한게임 포커"
08:00,18,,"스타세이비어"
08:00,19,,"Dark War Survival"
08:00,20,,"아키텍트: 랜드 오브 엑자일"
08:00,21,,"탑 히어로즈"
08:00,22,,"한게임 섯다&맞고"
08:00,23,,"씨사이드 익스케이프: 합성 & 스토리 게임"
08:00,24,,"FC 모바일"
08:00,25,,"트릭컬 리바이브"
08:00,26,,"리니지2M"
08:00,27,,"승리의 여신: 니케"
08:00,28,,"리니지W"
08:00,29,,"원신·공월의 노래"
08:00,30,,"I9: 인페르노 나인"
08:00,31,,"꿈의 정원 (Gardenscapes)"
08:00,32,,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이"
08:00,33,,"소녀전선2: 망명"
08:00,34,,"리니지M(12)"
08:00,35,,"명조:워더링 웨이브"
08:00,36,,"갓깨비 키우기-999뽑기 증정"
08:00,37,,"로얄 킹덤 (Royal Kingdom)"
08:00,38,,"RF 온라인 넥스트"
08:00,39,,"SD건담 지 제네레이션 이터널"
08:00,40,,"EA SPORTS FC Online M"
08:00,41,,"붕괴: 스타레일"
08:00,42,,"컴투스프로야구V25"
08:00,43,,"블리치: 소울 레조넌스"
08:00,44,,"WPL : 홀덤, 토너먼트, 오마하, 올인폴드, 픽앤고"
08:00,45,,"협동 타워 디펜스 : 깐부와 함께"
08:00,46,,"클래시 로얄"
08:00,47,,"카오스 제로 나이트메어"
08:00,48,,"캔디크러쉬사가 (Candy Crush Saga)"
08:00,49,,"서머너즈 워: 천공의 아레나"
08:00,50,,"나이트 크로우"
08:00,51,,"젠레스 존 제로"
08:00,52,,"리그 오브 레전드: 와일드 리프트"
08:00,53,,"전략적 팀 전투: 리그 오브 레전드 전략 게임"
08:00,54,,"Travel Town - 결합 어드벤처"
08:00,55,,"로드나인"
08:00,56,,"꿈의 집 (Homescapes)"
08:00,57,,"맛있는 여행: 합성 게임"
08:00,58,,"열혈강호: 귀환"
08:00,59,,"카발RED"
08:00,60,,"Legends Reborn: 마지막 전투"
08:00,61,,"레이븐2"
08:00,62,,"Limbus Company"
08:00,63,,"컴투스프로야구2025"
08:00,64,,"와다다 던전런"
08:00,65,,"메이플스토리M"
08:00,66,,"S.O.S: 스테이트 오브 서바이벌"
08:00,67,,"블레이드&소울 레볼루션"
08:00,68,,"쿠키런: 오븐브레이크"
08:00,69,,"랜드 오브 제일"
08:00,70,,"아키르: 로드 오브 디스트럭션"
08:00,71,,"좀비 웨이브스"
08:00,72,,"배틀그라운드"
08:00,73,,"클래시 오브 클랜"
08:00,74,,"한게임 신맞고 : 대한민국 원조 고스톱"
08:00,75,,"쿠키런: 킹덤"
08:00,76,,"리니지2 레볼루션"
08:00,77,,"Pokémon GO"
08:00,78,,"브롤스타즈"
08:00,79,,"MLB 9이닝스 25"
08:00,80,,"더 스타라이트"
08:00,81,,"꿈의 마을 (Township)"
08:00,82,,"추억의 잡화점"
08:00,83,,"퍼즐 오브 Z"
08:00,84,,"아키에이지 워 (ArcheAge WAR)"
08:00,85,,"뮤 모나크2"
08:00,86,,"스텔라 소라"
08:00,87,,"뮤 모나크"
08:00,88,,"eFootball™"
08:00,89,,"던전앤파이터 모바일"
08:00,90,,"피망 뉴맞고: 고스톱 대표 맞고 게임"
08:00,91,,"러브앤딥스페이스"
08:00,92,,"마피아42"
08:00,93,,"데블M"
08:00,94,,"전지적 시점: 데몬 삼국"
08:00,95,,"페이트/그랜드 오더"
08:00,96,,"타일 서바이벌"
08:00,97,,"변신 키우기"
08:00,98,,"피쉬돔 (Fishdom)"
08:00,99,,"라이즈 오브 킹덤즈"
08:00,100,,"카트라이더 러쉬플러스"
08:00,101,,"패밀리 아일랜드 - 농장모험게임"
08:00,102,,"에픽세븐"
08:00,103,,"기적의 검"
08:00,104,,"롬: 리멤버 오브 마제스티"
08:00,105,,"핫레스토랑: 머지&쿠킹"
08:00,106,,"버섯커 키우기-3000뽑기 증정"
08:00,107,,"Apex Girl"
08:00,108,,"레이드: 그림자의 전설"
08:00,109,,"슬레이어 키우기"
08:00,110,,"소울 스트라이크: QWER 키우기"
08:00,111,,"삼국지: 리버스-3333 무료 뽑기"
08:00,112,,"소드 오브 콘발라리아"
08:00,113,,"Yu-Gi-Oh! Master Duel"
08:00,114,,"히어로 클래시: 강아지를 지키자"
08:00,115,,"에이지 오브 제트: 타워 디펜스"
08:00,116,,"킹 오브 파이터 AFK - 3000뽑기 증정"
08:00,117,,"프라시아 전기"
08:00,118,,"머지 쿠킹 테마 레스토랑"
08:00,119,,"냥코 대전쟁"
08:00,120,,"갤럭시 디펜스 (Galaxy Defense)"
08:00,121,,"보물사냥단GO!"
08:00,122,,"Top War: Battle Game"
08:00,123,,"엠파이어 & 퍼즐 (Empires & Puzzles)"
08:00,124,,"사북성:언데드"
08:00,125,,"레전드 오브 이미르"
08:00,126,,"프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠"
08:00,127,,"세포 특공대"
08:00,128,,"아이모: The World of Magic"
08:00,129,,"건쉽배틀 토탈워페어"
08:00,130,,"헌터 키우기 : 방치형 RPG"
08:00,131,,"브라운더스트2 - 가슴 벅찬 RPG"
08:00,132,,"우마무스메 프리티 더비"
08:00,133,,"포켓몬 카드 게임 Pocket"
08:00,134,,"포지 마스터 (Forge Master)"
08:00,135,,"에브리타운 : 힝토 콜라보레이션!"
08:00,136,,"검은사막 모바일"
08:00,137,,"R2 ORIGIN"
08:00,138,,"명일방주"
08:00,139,,"애니팡2"
08:00,140,,"매직 로스트 로드"
08:00,141,,"천상비 K"
08:00,142,,"MLB 라이벌"
08:00,143,,"하스스톤"
08:00,144,,"지옥에서 온 검객"
08:00,145,,"디아블로 이모탈"
08:00,146,,"Domino Dreams™"
08:00,147,,"EA SPORTS FC™ 26 Companion"
08:00,148,,"둠스데이: 라스트 서바이버"
08:00,149,,"레이싱 마스터(Racing Master)"
08:00,150,,"주공을 지켜라：전부 없애기"
08:00,151,,"벽람항로"
08:00,152,,"정령킹 키우기"
08:00,153,,"에오스 레드"
08:00,154,,"인생존망겜"
08:00,155,,"궁수의 전설2"
08:00,156,,"탕탕특공대"
08:00,157,,"더 스파이크 크로스"
08:00,158,,"이세계 판타지 라이프"
08:00,159,,"X 클래시"
08:00,160,,"아레스 : 라이즈 오브 가디언즈"
08:00,161,,"R2M"
08:00,162,,"심야귀담"
08:00,163,,"묵청대도: 바운티"
08:00,164,,"엘피스 전기: 소울링"
08:00,165,,"Toon Blast"
08:00,166,,"전함 고! 고! 고!"
08:00,167,,"드래곤 플라이트2"
08:00,168,,"애니팡3"
08:00,169,,"검선귀환"
08:00,170,,"묵청대도: 깨어난 사북성"
08:00,171,,"헌팅 스나이퍼"
08:00,172,,"본 어게인: 해골히어로"
08:00,173,,"로스트 소드"
08:00,174,,"스트리트볼 올스타-Streetball Allstar"
08:00,175,,"신 선혼: 리버스"
08:00,176,,"오피스 퀸 키우기"
08:00,177,,"미스터리 타운 - 합치기 & 사건"
08:00,178,,"캣 히어로 : 방치형 RPG"
08:00,179,,"삼국지 전략판"
08:00,180,,"Wing Fighter"
08:00,181,,"월드 크러쉬 : 히어로 포스"
08:00,182,,"애니팡4"
08:00,183,,"아케론:종말의 서곡"
08:00,184,,"건틀렛: 방치형 액션 RPG"
08:00,185,,"블루 아카이브"
08:00,186,,"궁:영롱몽"
08:00,187,,"스칼렛 판타지아"
08:00,188,,"프렌즈팝콘"
08:00,189,,"메카 어셈블:좀비 스웜"
08:00,190,,"트리 오브 세이비어: 네버랜드"
08:00,191,,"V4"
08:00,192,,"HIT2"
08:00,193,,"카피바라 Go!"
08:00,194,,"팰리팰리"
08:00,195,,"무기미도"
08:00,196,,"항해킹 사가"
08:00,197,,"냥냥 시노비 : 미소녀 닌자 디펜스"
08:00,198,,"에보니 - 왕의 귀환"
08:00,199,,"에이지 오브 엠파이어 모바일"
08:00,200,,"이사만루25"
08:30,1,,"메이플 키우기"
08:30,2,,"리니지M"
08:30,3,,"WOS: 화이트아웃 서바이벌"
08:30,4,,"라스트 워: 서바이벌"
08:30,5,,"라스트 Z: 서바이벌 슈터"
08:30,6,,"뱀피르"
08:30,7,,"킹샷:Kingshot"
08:30,8,,"Roblox"
08:30,9,,"AION2"
08:30,10,,"오딘: 발할라 라이징"
08:30,11,,"로얄 매치 Royal Match"
08:30,12,,"마비노기 모바일"
08:30,13,,"운빨존많겜"
08:30,14,,"세븐나이츠 리버스"
08:30,15,,"한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯"
08:30,16,,"가십하버: 합성 & 스토리 게임"
08:30,17,,"한게임 포커"
08:30,18,,"스타세이비어"
08:30,19,,"Dark War Survival"
08:30,20,,"아키텍트: 랜드 오브 엑자일"
08:30,21,,"탑 히어로즈"
08:30,22,,"한게임 섯다&맞고"
08:30,23,,"씨사이드 익스케이프: 합성 & 스토리 게임"
08:30,24,,"FC 모바일"
08:30,25,,"트릭컬 리바이브"
08:30,26,,"리니지2M"
08:30,27,,"승리의 여신: 니케"
08:30,28,,"리니지W"
08:30,29,,"원신·공월의 노래"
