time,rank,id,title
00:00,1,,"星城Online-範馬刃牙地表最強SLOT"
00:00,2,,"天堂M"
00:00,3,,"寒霜啟示錄"
00:00,4,,"最後的戰爭 - Last War"
00:00,5,,"楓之谷：放置冒險記"
00:00,6,,"戀與深空"
00:00,7,,"Kingshot"
00:00,8,,"Last Z：Survival Shooter（倖存者逃亡）"
00:00,9,,"卡厄思夢境"
00:00,10,,"包你發-王識賢、安心亞推薦娛樂城-賽特1000上線千倍紅球雨"
00:00,11,,"問劍長生"
00:00,12,,"英雄來搞鬼：房間保衛戰"
00:00,13,,"明日方舟"
00:00,14,,"麻將 明星3缺1麻將"
00:00,15,,"勝利女神：妮姬"
00:00,16,,"糖果傳奇"
00:00,17,,"金好運－大力工頭登場、戰神賽特、吉宗、捕魚機、老虎機、麻將"
00:00,18,,"緋聞港口：合併&故事"
00:00,19,,"Coin Master"
00:00,20,,"信長之野望 真戰"
00:00,21,,"麻將 神來也麻將－台灣16張、麻雀"
00:00,22,,"神魔之塔"
00:00,23,,"大福Online- 老虎機、麻將、捕魚、柏青斯洛、拉霸娛樂城"
00:00,24,,"原神·空月之歌"
00:00,25,,"杖劍傳說：坎斯汀之約"
00:00,26,,"老子有錢 - 業界最強10萬倍賽特"
00:00,27,,"滿貫大亨 - 快打旋風登場"
00:00,28,,"熱血江湖：福利加強版"
00:00,29,,"崩壞：星穹鐵道"
00:00,30,,"逆水寒"
00:00,31,,"鳴潮"
00:00,32,,"豪神娛樂城-戰神賽特、麻將、捕魚、賓果、水果盤、拉霸、老虎機"
00:00,33,,"SD鋼彈 G世代 永恆"
00:00,34,,"嚦咕麻將-戰神賽特2首發登場"
00:00,35,,"Pokémon GO"
00:00,36,,"獵風傳說-漢典邀你一起狩獵"
00:00,37,,"Dark War Survival"
00:00,38,,"蔚藍星球: 國王很忙"
00:00,39,,"Roblox"
00:00,40,,"開天 - 血肉為祭，詭道成仙"
00:00,41,,"PUBG MOBILE：絕地求生M"
00:00,42,,"Garena 傳說對決：光暗續戰版本"
00:00,43,,"貓咪大戰爭"
00:00,44,,"王國之歌（Top Heroes）"
00:00,45,,"天堂W"
00:00,46,,"棕色塵埃2- 冒汗心跳的RPG"
00:00,47,,"動畫SPY×FAMILY＆《LINE Rangers》合作"
00:00,48,,"MLB：9局職棒25"
00:00,49,,"碧藍航線"
00:00,50,,"拉斯維加斯娛樂城 (Let's Vegas Slots)"
00:00,51,,"三國志・戰略版"
00:00,52,,"異能獵人"
00:00,53,,"巔峰極速"
00:00,54,,"錢街Online-眾神之戰、財神捕魚、老虎機、百家樂、21點"
00:00,55,,"夢幻花園 (Gardenscapes)"
00:00,56,,"BLEACH：刀鳴"
00:00,57,,"少女前線2：追放"
00:00,58,,"救世主超忙"
00:00,59,,"一個官人一個妻-7.5週年"
00:00,60,,"邪門鬼道"
00:00,61,,"Pokémon TCG Pocket"
00:00,62,,"HUGA野蠻世界-真人麻將、老虎機、捕魚、柏青-陳雷代言"
00:00,63,,"Garena® 三角洲行動"
00:00,64,,"人人有功練：腸仔江湖見"
00:00,65,,"奧丁 : 神叛"
